id	name	size	proof	abv	spirit_type	brand_id	popularity	image_url	avg_msrp	fair_price	shelf_price	total_score	wishlist_count
18883	Barrell Vantage	750	114	57	Whiskey	146	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/receq3ls26ObPKg9Q	87.46	95.43	91.49	1060	99
2363	W.B. Saffell	375		53.5	Bourbon	191		https://d1w35me0y6a2bb.cloudfront.net/newproducts/recYpRTtcwrV1QRQh	49.97	59.47	58.14	1059	82
18708	High West Midwinter Nights Dram Act 10 Scene 1: The Encore	750	99	49.5	Rye	350	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recyjVTYegyMrAUPW	150	155.83	173.32	1052	107
17063	Yellowstone Limited Edition 2021	750	101	50.5	Bourbon	272	600	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recdIsNAaLSkNAxGs	99.99	118.49	173.99	1050	211
4857	Bernheim Original Kentucky Straight Wheat Whiskey	750	90	45	Whiskey	916	1700	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recDLfUhjThgtWKvJ	29.9	38.72	40.32	1047	120
2028	Jack Daniel's Single Barrel Eric Church	750	94	47	Whiskey	231	1800	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recTdRF7jDADpsVhe	54.97	133.4	329.82	1046	286
993	High West Rendezvous Rye	750	92	46	Rye	350	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rech6fegrJOHwgysC	68.7	74.45	74.85	1046	107
18110	Evan Williams Single Barrel Vintage 2012	750	86.6	43.3	Bourbon	167	600	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recT2rQjiK8QqQkAG	28.75	35.19	39.02	1046	174
19594	Thirteenth Colony Distilleries Southern Bourbon Whiskey	750	95	47.5	Bourbon	25	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec7ERp9xyg0Je9Ht	35	47.72	46.19	1045	85
2753	WhistlePig 10 Year Single Barrel	750	117.8	58.9	Rye	3549	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec2gkvcsh8D2bSEE	88.94	106.16	111.08	1037	124
2973	Knob Creek Rye	750	100	50	Rye	189	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec56Sw8I3HjFSUTZ	34.38	41.77	37.16	1035	81
2592	Barrell Bourbon Single Barrel	750	120	60	Bourbon	146	1980	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0gUVJcli0RceGN	98.56	107.76	110.39	1034	329
41054	Heaven Hill: Grain to Glass - Wheated Bourbon	750	121	60.5	Bourbon	430	100051	https://d1w35me0y6a2bb.cloudfront.net/newproducts/ed856927-5c68-47e3-949b-991c66719d02	99	118.93	178.73	1031	215
858	Ezra Brooks Distiller's Collection	750	107	53.5	Bourbon	324	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recgTWNQqw3MFUp4S	38.31	41.54	41.82	1030	50
17158	Blue Note Crossroads	750	100	50	Bourbon	3068	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recAY8FGilMCyrJq0	40.99	55.93	44.16	1030	94
651	Willett Pot Still Reserve Bourbon	1750	94	47	Bourbon	2986		https://d1w35me0y6a2bb.cloudfront.net/newproducts/recdXsizevIFnt7ty	112.49	134.22	113.29	1028	63
5029	Noble Oak Double Oak Bourbon	750	90	45	Bourbon	507	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recFx4r0Z7x5OkKFL	33.11	40.52	34.39	1027	82
20575	Old Fitzgerald 10 Year	750	100	50	Bourbon	234		https://d1w35me0y6a2bb.cloudfront.net/newproducts/recqjotaoX9XA1VYY	144.98	221.85	354.82	1027	132
2833	Basil Hayden's Bourbon	375	80	40	Bourbon	330	80	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec3csWXYBHHHeEQj	21.92	41.74	24.05	1024	63
